sample	samples	NTN1	NTN3	NTN4	NTN5	NTNG1	NTNG2	DSCAM	DCC	UNC5A	UNC5B	UNC5C	UNC5D	cancer type abbreviation	sample_type
TCGA-32-2634-01	TCGA-32-2634-01	11.09	4.75	8.51	3.76	6.95	9.1	8.23	8.17	8.19	11.04	4.29	4.83	GBM	Primary Tumor
TCGA-DU-7301-01	TCGA-DU-7301-01	11.09	4.05	10.06	3.22	4.95	9.35	10.22	4.62	6.94	10.21	6.42	2.04	LGG	Primary Tumor
TCGA-AR-A24N-01	TCGA-AR-A24N-01	11.09	3.67	9.8	1.61	2.26	4.52	0	0.37	6.63	10.23	5.7	0	BRCA	Primary Tumor
TCGA-P5-A5EW-01	TCGA-P5-A5EW-01	11.09	3.56	9.06	4.89	5.93	9.62	10.8	7.97	9.1	9.65	3.99	6.04	LGG	Primary Tumor
TCGA-HT-A61B-01	TCGA-HT-A61B-01	11.09	3.24	7.96	4.36	6.05	9.24	8.18	2.66	8.23	9.89	2.56	5.29	LGG	Primary Tumor
TCGA-DU-7008-01	TCGA-DU-7008-01	11.09	3.06	10.01	2.86	7.58	10.08	10.96	8.04	9.63	8.36	3.31	7.37	LGG	Primary Tumor
TCGA-X7-A8M1-01	TCGA-X7-A8M1-01	11.09	3.02	10.37	4.51	6.75	5.34	0.46	0.46	2.56	10.23	5.12	6.11	THYM	Primary Tumor
TCGA-DB-A75P-01	TCGA-DB-A75P-01	11.09	2.9	7.41	5.23	7.43	8.69	9.36	4.78	10.41	10.75	6.91	9.03	LGG	Primary Tumor
TCGA-14-1034-02	TCGA-14-1034-02	11.09	2.32	5.7	4.48	5.96	6.56	8.15	3.36	8.07	10.01	1.58	7.03	GBM	Recurrent Tumor
TCGA-CV-7414-01	TCGA-CV-7414-01	11.09	1.96	7.49	1.66	2.51	3.73	1.66	2.51	2.68	11.32	4.55	0	HNSC	Primary Tumor
TCGA-BS-A0U5-01	TCGA-BS-A0U5-01	11.09	0.81	10.37	4.12	1.13	4.01			3.08	10.63	6.58	2.2	UCEC	Primary Tumor
TCGA-FG-8186-01	TCGA-FG-8186-01	11.08	3.78	7.65	3.32	6.57	9.42	10.66	7.22	9.2	9.83	4.85	7.12	LGG	Primary Tumor
TCGA-S9-A6TX-01	TCGA-S9-A6TX-01	11.08	3.59	7.11	3.54	3.86	9.94	10.29	5.45	9.81	10.7	5.67	2.75	LGG	Primary Tumor
TCGA-34-8456-01	TCGA-34-8456-01	11.08	3.44	9.38	4.33	1.9	4.55	4.37	3.44	3.02	9.18	4.25	2.69	LUSC	Primary Tumor
TCGA-P5-A5F1-01	TCGA-P5-A5F1-01	11.08	2.8	7.54	4.16	5.22	8.41	8.07	2.31	5.72	9.45	1.8	2.99	LGG	Primary Tumor
TCGA-FG-A4MW-01	TCGA-FG-A4MW-01	11.08	1.91	5.66	4.13	7.19	8.85	8.56	5.75	8.07	10.27	5.79	4.43	LGG	Primary Tumor
TCGA-DX-A8BS-01	TCGA-DX-A8BS-01	11.08	1.72	10.44	2.67	8.45	4.54	0	0.82	5.86	11.37	2.67	0	SARC	Primary Tumor
TCGA-19-0957-02	TCGA-19-0957-02	11.08	0	7.63	4.33	7.2	9.01	9.96	7.72	8.1	11.71	7.11	5.71	GBM	Recurrent Tumor
TCGA-CS-4943-01	TCGA-CS-4943-01	11.07	4.88	10.08	3.34	6.07	7.97	9.8	9.35	9.61	9.41	4.86	5.84	LGG	Primary Tumor
TCGA-DU-7013-01	TCGA-DU-7013-01	11.07	4.75	5.51	3.42	8.88	7.49	9.16	7.32	6.78	9.95	4.9	8.76	LGG	Primary Tumor
TCGA-DX-A6Z0-01	TCGA-DX-A6Z0-01	11.07	3.25	11.68	3.52	2.29	4.53	0	0.83	4.46	10.42	1.74	0	SARC	Primary Tumor
TCGA-06-2558-01	TCGA-06-2558-01	11.07	3.01	7.63	3.54	8.24	8.12	9.52	6.55	8.06	11.17	4.22	6.39	GBM	Primary Tumor
TCGA-HW-A5KL-01	TCGA-HW-A5KL-01	11.07	2.38	9.69	5.49	5.73	9.87	11.48	6.5	9.22	9.85	4.95	3.77	LGG	Primary Tumor
TCGA-28-5204-01	TCGA-28-5204-01	11.07	2.32	4.35	1	5.02	7.72	9.35	6.06	5.94	9.9	4.49	2.45	GBM	Primary Tumor
TCGA-L5-A88T-01	TCGA-L5-A88T-01	11.07	2.17	8.69	3.23	2.06	4.32	0	2.8	5.89	11.87	5.14	0.77	ESCA	Primary Tumor
TCGA-ZP-A9D0-01	TCGA-ZP-A9D0-01	11.07	1.84	6.39	1.55	0	1.19	0.72	0	5.82	8.43	2.62	0	LIHC	Primary Tumor
TCGA-A7-A4SE-01	TCGA-A7-A4SE-01	11.07	1.74	9.7	3.46	6.36	5.81	2.9	1.12	2.51	11.35	3.97	0.67	BRCA	Primary Tumor
TCGA-DB-A4XA-01	TCGA-DB-A4XA-01	11.07	1.68	9.33	2.82	5.48	10.28	10.18	4.38	9.68	10.2	4.31	4.53	LGG	Primary Tumor
TCGA-32-1980-01	TCGA-32-1980-01	11.07	1.37	8.15	3.72	8.53	8.48	7.52	4.08	10.07	11.27	5.98	6.82	GBM	Primary Tumor
TCGA-CV-6941-01	TCGA-CV-6941-01	11.07	1.37	6.98	0.84	3.34	5.41	2.43	0	3.23	10.39	3.9	0	HNSC	Primary Tumor
TCGA-CV-6960-01	TCGA-CV-6960-01	11.07	0.76	6.06	1.03	1.03	4	5.94	0	2.38	11.78	1.63	0.76	HNSC	Primary Tumor
TCGA-D1-A17D-01	TCGA-D1-A17D-01	11.07	-0.65	8.85	3.52	1.71	4.84			7	9.74	3.86	-0.5	UCEC	Primary Tumor
TCGA-E1-A7Z2-01	TCGA-E1-A7Z2-01	11.06	3.78	6.83	6.26	7.05	8.75	8.55	2.92	9.63	8.81	4.31	5.9	LGG	Primary Tumor
TCGA-HT-7606-01	TCGA-HT-7606-01	11.06	3.67	5.68	2.71	4.48	8.85	10.23	3.17	9.5	10.03	4.07	4.26	LGG	Primary Tumor
TCGA-HT-7902-01	TCGA-HT-7902-01	11.06	3.55	8.44	4.55	6.16	9.89	9.04	5.75	7.91	11.81	8.7	6.32	LGG	Primary Tumor
TCGA-UF-A7JD-01	TCGA-UF-A7JD-01	11.06	3.29	9.21	3.05	1.97	5.76	1.3	1.67	3.39	11.32	4.84	1.97	HNSC	Primary Tumor
TCGA-19-2620-01	TCGA-19-2620-01	11.06	2.7	6.83	6.79	9.55	7.99	8.87	4.92	7.26	10.14	6.14	5.46	GBM	Primary Tumor
TCGA-DX-A6B7-01	TCGA-DX-A6B7-01	11.06	2.6	6.87	0.51	0.51	5.15	0.88	0	3.47	6.86	7.45	0	SARC	Primary Tumor
TCGA-TM-A7C3-01	TCGA-TM-A7C3-01	11.06	1.87	7.82	6.05	7.46	7.61	10.03	3.42	8.08	9.74	2.93	6.76	LGG	Primary Tumor
TCGA-CV-7421-01	TCGA-CV-7421-01	11.06	1.52	9.73	3.21	2	4.58	1.7	0.81	3.57	11.69	3.15	1.09	HNSC	Primary Tumor
TCGA-AK-3427-01	TCGA-AK-3427-01	11.06	0.66	11.18	0.66	1.73	2.49	1.45	0.66	3.89	10.17	1.45	0.66	KIRC	Primary Tumor
TCGA-TQ-A8XE-02	TCGA-TQ-A8XE-02	11.05	3.38	8.12	3.14	6.48	9.85	10.54	7.38	8.57	10.55	5.83	5.59	LGG	Recurrent Tumor
TCGA-S9-A6WQ-01	TCGA-S9-A6WQ-01	11.05	3.35	9.06	3.57	4.98	10.2	10.63	5.97	8.76	10.91	5.7	3.35	LGG	Primary Tumor
TCGA-DB-5280-01	TCGA-DB-5280-01	11.05	2.94	9.85	4.7	4.51	10.01	11.01	8.84	8.61	9.9	4.64	4.79	LGG	Primary Tumor
TCGA-25-1623-01	TCGA-25-1623-01	11.05	2.87	8.67	2.08	3.67	6.28	0.56	1.33	4.43	10.81	4.17	-0.39	OV	Primary Tumor
TCGA-24-2298-01	TCGA-24-2298-01	11.05	1.95	11.29	4.28	2.51	5.76	1.5	0.74	8.24	11.52	3.04	3.8	OV	Primary Tumor
TCGA-WK-A8XT-01	TCGA-WK-A8XT-01	11.04	6.44	6.1	5.42	3.44	11.54	2.57	6.36	8.92	12.84	8.11	4.88	SARC	Primary Tumor
TCGA-QK-A6V9-01	TCGA-QK-A6V9-01	11.04	4.03	7.68	4.88	1.52	3.32	0.81	0.46	1.86	9.14	0.46	0	HNSC	Primary Tumor
TCGA-ZB-A96Q-01	TCGA-ZB-A96Q-01	11.04	3.62	10.54	4.52	5.24	4.33	1.02	0	1.02	10.56	6.58	6.18	THYM	Primary Tumor
TCGA-GD-A3OS-01	TCGA-GD-A3OS-01	11.04	3.62	7.25	4.03	6.96	4.79	1.11	0.37	4.08	10.83	6.61	0	BLCA	Primary Tumor
TCGA-DU-7290-01	TCGA-DU-7290-01	11.04	2.96	7.03	3.18	7.32	5.9	7.82	2.83	5.1	10.44	5.97	3.23	LGG	Primary Tumor
TCGA-EY-A214-01	TCGA-EY-A214-01	11.04	0.75	9.19	2.99	1.06	4.33			2.85	9	2.1	2.46	UCEC	Primary Tumor
TCGA-SJ-A6ZJ-01	TCGA-SJ-A6ZJ-01	11.04	0	8.68	5.71	3.08	4.41	0.91	0	4.11	9.17	1.86	1.68	UCEC	Primary Tumor
TCGA-VM-A8CF-01	TCGA-VM-A8CF-01	11.04	0	5.53	6.08	7.34	8.03	6.52	0	5.13	9.2	3.33	2.47	LGG	Primary Tumor
TCGA-66-2793-01	TCGA-66-2793-01	11.03	5.65	6.9	5.71	5.77	2.62	2.35	3.03	1.35	9.08	3.28	0.6	LUSC	Primary Tumor
TCGA-BA-5559-01	TCGA-BA-5559-01	11.03	4.83	10.12	3.92	2.04	5.1	0.65	3.29	2.79	11.3	3.89	0.65	HNSC	Primary Tumor
TCGA-06-0210-02	TCGA-06-0210-02	11.03	2.96	6.98	1.78	9.09	6.2	8.57	3.35	5.63	11.09	6.83	4.13	GBM	Recurrent Tumor
TCGA-19-2619-01	TCGA-19-2619-01	11.03	2.85	4.85	3.08	8.71	8.58	9.45	5.81	8.64	10.54	6.55	8.52	GBM	Primary Tumor
TCGA-S9-A7R2-01	TCGA-S9-A7R2-01	11.03	2.42	7.28	4.74	7.54	9.02	8.4	4.28	7.63	11.01	6.61	4.71	LGG	Primary Tumor
TCGA-EY-A1GX-01	TCGA-EY-A1GX-01	11.03	0.82	9.14	5.28	0	0.47	0	0	3.82	8.59	3.65	0	UCEC	Primary Tumor
TCGA-21-5784-01	TCGA-21-5784-01	11.03	0	9.41	0.91	3.48	3.79	1.68	2.18	3.16	11.27	4.04	0	LUSC	Primary Tumor
TCGA-60-2695-01	TCGA-60-2695-01	11.02	3.65	8.94	2.31	4.15	4.13	2.72	2.92	6.65	10.37	4.3	8.48	LUSC	Primary Tumor
TCGA-12-0618-01	TCGA-12-0618-01	11.02	3.38	9.44	3.72	8.21	9.85	9.78	8.59	8.96	10.35	4.28	8.35	GBM	Primary Tumor
TCGA-DX-A48N-01	TCGA-DX-A48N-01	11.02	3.28	10.18	3.76	5.46	4.24	3.28	1.55	4.44	10.01	8.61	0.57	SARC	Primary Tumor
TCGA-AJ-A2QL-11	TCGA-AJ-A2QL-11	11.02	0.46	10.57	5.69	2.37	3.14			8.61	9.33	3.63	1.28	UCEC	Solid Tissue Normal
TCGA-IP-7968-11	TCGA-IP-7968-11	11.02	-0.98	9.17	0.83	2.84	3.3	-0.27	1.14	5.85	11.13	2.04	-0.39	STAD	Solid Tissue Normal
TCGA-56-8309-01	TCGA-56-8309-01	11.01	3.65	12.47	4.57	6.15	5.78	0	3.88	4.83	10.94	5.44	0.89	LUSC	Primary Tumor
TCGA-E1-5322-01	TCGA-E1-5322-01	11.01	2.99	10.47	2.7	5.71	8.97	11.27	7.73	8.06	9.36	2.16	4.9	LGG	Primary Tumor
TCGA-DH-5144-01	TCGA-DH-5144-01	11.01	2.88	9.51	2.44	4.32	9.91	11.91	5.87	9.69	9.43	2.88	4.07	LGG	Primary Tumor
TCGA-S9-A6U1-01	TCGA-S9-A6U1-01	11.01	2.53	9.74	5.22	5.06	9.92	11.36	6.71	9.03	10.14	6.03	5.67	LGG	Primary Tumor
TCGA-DH-5141-01	TCGA-DH-5141-01	11.01	2.36	8.17	2.46	3.09	10	8.11	5.93	9.44	10.56	4.83	2.81	LGG	Primary Tumor
TCGA-77-6844-01	TCGA-77-6844-01	11.01	2.02	8.07	3.83	2.96	3.02	0.75	1.01	1.89	10.33	2.61	0	LUSC	Primary Tumor
TCGA-DB-A64O-01	TCGA-DB-A64O-01	11.01	1.85	6.96	5.66	8.25	7.68	7.97	3.51	8.52	10.31	4.79	7.24	LGG	Primary Tumor
TCGA-DU-5872-01	TCGA-DU-5872-01	11.01	1.62	8.26	3.75	3.47	8.93	10.1	5.51	8.98	10.83	4.11	2.92	LGG	Primary Tumor
TCGA-PK-A5H8-01	TCGA-PK-A5H8-01	11.01	1.17	9.73	3.46	0	2.04	5.72	0	3.82	7.51	1.17	0	ACC	Primary Tumor
TCGA-E1-A7YV-01	TCGA-E1-A7YV-01	11	2.88	9.95	4.32	6.59	7.92	10.26	9.41	8.81	8.86	3.39	4.99	LGG	Primary Tumor
TCGA-D1-A17N-01	TCGA-D1-A17N-01	11	2.63	9.18	5.47	4.15	7.53			6.79	10.87	4.71	3.71	UCEC	Primary Tumor
TCGA-AX-A0J0-11	TCGA-AX-A0J0-11	11	1.76	11.07	3.93	4.93	4.74	0.56	0	4.81	9.56	6.51	6.31	UCEC	Solid Tissue Normal
TCGA-64-1679-01	TCGA-64-1679-01	11	1.29	10.8	2.42	1.29	5.09	2.64	1.11	5.38	11.63	6.62	1.29	LUAD	Primary Tumor
TCGA-H7-A6C5-11	TCGA-H7-A6C5-11	11	0.59	10.38	2.71	4.5	2.59	1	1.33	4.86	10.54	1.59	1.59	HNSC	Solid Tissue Normal
TCGA-B5-A5OD-01	TCGA-B5-A5OD-01	11	0.48	9.71	6.53	8.43	3.85	1.36	1.36	4.64	7.97	1.12	0	UCEC	Primary Tumor
TCGA-43-5670-01	TCGA-43-5670-01	11	0	10.96	4.98	4.58	4.04	0.44	1.05	3.76	9.88	1.66	0.44	LUSC	Primary Tumor
TCGA-96-7544-01	TCGA-96-7544-01	11	0	8.02	3.23	2.69	4.43	0.72	1.7	2.46	10.87	5.76	0.4	LUSC	Primary Tumor
TCGA-K1-A42X-02	TCGA-K1-A42X-02	10.99	4.91	7.38	1.89	6.2	4.06	4.1	0.62	3.1	8.13	7.95	11.82	SARC	Recurrent Tumor
TCGA-E1-A7YW-01	TCGA-E1-A7YW-01	10.99	4.05	9.26	6.1	6.27	9.51	10.87	6.74	9.29	9.09	3.64	4.69	LGG	Primary Tumor
TCGA-06-5408-01	TCGA-06-5408-01	10.99	2.93	6.52	2.84	8.35	8.49	8.21	3.48	7.27	9.48	7.45	5.64	GBM	Primary Tumor
TCGA-DH-5143-01	TCGA-DH-5143-01	10.99	2	8.47	4.22	6.21	9.63	10.37	7.24	9.96	9.47	3.96	6.05	LGG	Primary Tumor
TCGA-IR-A3L7-01	TCGA-IR-A3L7-01	10.99	1.44	9.22	5.61	3.17	3.13	0	0	1.95	11.2	2.69	0.36	CESC	Primary Tumor
TCGA-PR-A5PH-01	TCGA-PR-A5PH-01	10.99	0.46	9.22	1.33	2.26	7.11	0	7.73	12.9	13.69	7.31	9.24	PCPG	Primary Tumor
TCGA-HW-8322-01	TCGA-HW-8322-01	10.98	4.4	10.1	2.58	6.27	9.37	11.01	6.89	9.76	9.48	5.21	7.02	LGG	Primary Tumor
TCGA-DU-A5TY-01	TCGA-DU-A5TY-01	10.98	2.92	6.72	3.29	8.79	6.87	9.41	7.65	6.25	10.62	5.43	6.9	LGG	Primary Tumor
TCGA-FG-8191-01	TCGA-FG-8191-01	10.98	2.77	8.71	3.74	5.01	9.51	10.89	7.16	8.66	9.76	6.08	5.14	LGG	Primary Tumor
TCGA-06-5416-01	TCGA-06-5416-01	10.98	2.64	10.11	2.8	5.39	5.85	10.4	5.51	7.67	9.64	2.45	1.69	GBM	Primary Tumor
TCGA-27-1837-01	TCGA-27-1837-01	10.98	2.51	7.25	3.8	7.09	8.66	9.92	4.02	7.94	11.16	3.01	5.13	GBM	Primary Tumor
TCGA-34-2600-01	TCGA-34-2600-01	10.98	2.09	7.03	3.97	3.77	2.83	0	5.24	1.79	9.94	2.46	0.86	LUSC	Primary Tumor
TCGA-EL-A3CX-01	TCGA-EL-A3CX-01	10.98	1.71	6.39	5.16	0	7.49	2.01	0	1.1	9.96	0	1.53	THCA	Primary Tumor
TCGA-NK-A7XE-01	TCGA-NK-A7XE-01	10.98	1.53	8.55	5.63	1.82	5.48	0	1.18	5	9.74	0.71	0	LUSC	Primary Tumor
TCGA-CV-7242-11	TCGA-CV-7242-11	10.98	0	9.51	2.59	1.35	3.25	0	0.47	1.11	10.21	0.83	0	HNSC	Solid Tissue Normal
TCGA-TQ-A7RQ-01	TCGA-TQ-A7RQ-01	10.97	5.63	9.69	3.64	5.32	10.28	11.51	8.97	10.43	8.78	3.91	6.29	LGG	Primary Tumor
TCGA-DQ-7590-01	TCGA-DQ-7590-01	10.97	4.29	8.65	3.27	5	4.67	0.87	0.5	6.93	10.7	3.6	0	HNSC	Primary Tumor
TCGA-HD-7754-01	TCGA-HD-7754-01	10.97	4.15	7.27	2.08	1.06	4.61	0.34	1.23	2.74	11.66	4.01	0.34	HNSC	Primary Tumor
TCGA-R8-A6ML-01	TCGA-R8-A6ML-01	10.97	3.14	9.94	2.24	5.95	9.55	11	6.85	9.34	9.18	4.21	1.99	LGG	Primary Tumor
TCGA-66-2769-01	TCGA-66-2769-01	10.97	2.74	9.82	0.46	5.91	5.21	0	7.59	2.97	12.56	4.05	0.46	LUSC	Primary Tumor
TCGA-XU-A92V-01	TCGA-XU-A92V-01	10.97	2.72	12.27	4.78	1.7	4.03	5.54	0.46	1.52	10.84	7.4	4.18	THYM	Primary Tumor
TCGA-85-A4QR-01	TCGA-85-A4QR-01	10.97	2.34	7.39	3.45	0.54	2.06	0.54	0.54	0.93	9.43	1.23	0.93	LUSC	Primary Tumor
TCGA-HT-7692-01	TCGA-HT-7692-01	10.97	1.87	7.62	3.99	6.3	9.1	10.06	5.11	9.93	8.6	2.66	5.27	LGG	Primary Tumor
TCGA-SH-A7BD-01	TCGA-SH-A7BD-01	10.97	1.52	7.39	3.94	7.91	4.89	2.24	0	5.54	11.7	1.8	2.24	MESO	Primary Tumor
TCGA-N6-A4VD-01	TCGA-N6-A4VD-01	10.97	1.48	9.9	4.22	7.35	6.7	4.61	2.68	7.94	11.88	3.47	0.78	UCS	Primary Tumor
TCGA-D1-A16N-01	TCGA-D1-A16N-01	10.96	4.28	9.24	2.9	2.37	4.39			4.1	10.16	4.79	3.09	UCEC	Primary Tumor
TCGA-DU-7015-01	TCGA-DU-7015-01	10.96	3.93	9.24	3.78	5.8	8.83	10.48	7.52	8.76	9.84	2.09	6.32	LGG	Primary Tumor
TCGA-HT-8104-01	TCGA-HT-8104-01	10.96	3.45	6.52	5.33	8.11	7.5	8.94	6.31	8.13	9.98	7.4	5.4	LGG	Primary Tumor
TCGA-28-5209-01	TCGA-28-5209-01	10.96	3.31	4.95	4.36	9.26	6.45	9.23	6.1	6.13	10.7	6.35	7.9	GBM	Primary Tumor
TCGA-HT-8106-01	TCGA-HT-8106-01	10.96	3.21	6.81	3.69	7.3	8.93	6.38	3.53	7.06	10.64	6.92	6.28	LGG	Primary Tumor
TCGA-32-2616-01	TCGA-32-2616-01	10.96	2.62	4.96	3.13	4.64	5.25	9.34	3.76	3.83	12.97	1.68	3.18	GBM	Primary Tumor
TCGA-AR-A0TS-01	TCGA-AR-A0TS-01	10.96	1.86	7.8	2.2	5.43	4.87	1.57	1.98	4.96	9.68	4.43	0	BRCA	Primary Tumor
TCGA-HW-8321-01	TCGA-HW-8321-01	10.96	1.84	10.07	4.16	5.18	9.11	11.05	8.55	9.33	10.66	6.36	5.34	LGG	Primary Tumor
TCGA-A6-2675-11	TCGA-A6-2675-11	10.96	1.42	9.71	2.72	6.64	4.51	2.72	2.59	1.92	10.09	6.41	4.32	COAD	Solid Tissue Normal
TCGA-P5-A77W-01	TCGA-P5-A77W-01	10.96	0.84	9.83	3.33	4.69	9.37	11.45	7.9	9.78	10.24	4.42	2.05	LGG	Primary Tumor
TCGA-27-2524-01	TCGA-27-2524-01	10.96	0.68	5.94	2.68	7.65	8.26	8.24	4.25	6.55	10.2	4.61	4.8	GBM	Primary Tumor
TCGA-24-2290-01	TCGA-24-2290-01	10.96	-1.15	9.97	3.59	7.28	2.61	2.48	1.84	8.18	9.99	2.02	-0.39	OV	Primary Tumor
TCGA-DU-6403-01	TCGA-DU-6403-01	10.95	5.05	9.19	3.87	7.6	8.4	11.02	8.91	9.42	10.56	7.62	7.05	LGG	Primary Tumor
TCGA-MJ-A68H-01	TCGA-MJ-A68H-01	10.95	4.56	8.13	3.03	10.75	3.52	3.59	4.17	6.14	9.6	8.37	9.07	SARC	Primary Tumor
TCGA-06-0157-01	TCGA-06-0157-01	10.95	3.04	6.97	4.86	8.65	8.26	9.78	8.12	6.47	10.78	3.04	8.93	GBM	Primary Tumor
TCGA-HW-7490-01	TCGA-HW-7490-01	10.95	2.5	8.89	4.38	4.44	8.61	9.01	5.84	7.81	10.33	3.82	3.77	LGG	Primary Tumor
TCGA-85-6175-01	TCGA-85-6175-01	10.95	1.27	10.6	3.4	3.68	5.78	4.16	4.52	3.24	12.59	8.44	0	LUSC	Primary Tumor
TCGA-AJ-A3NE-11	TCGA-AJ-A3NE-11	10.95	1.14	10.09	4.55	2.64	3.71	0	0.85	5.35	9.21	4.8	5.33	UCEC	Solid Tissue Normal
TCGA-BG-A0MT-01	TCGA-BG-A0MT-01	10.95	0.19	9.84	2.36	1.68	2.47			2.23	10.04	2.51	0.9	UCEC	Primary Tumor
TCGA-UD-AAC4-01	TCGA-UD-AAC4-01	10.95	0	6.04	2.12	7.77	4.81	0	0	5.59	9.67	4.68	0.5	MESO	Primary Tumor
TCGA-DU-A7T8-01	TCGA-DU-A7T8-01	10.94	4.27	9.23	5.39	7.25	10.4	10.32	7.32	9.62	9.18	4.97	5.72	LGG	Primary Tumor
TCGA-ZB-A96L-01	TCGA-ZB-A96L-01	10.94	2.27	10.68	4.93	5.89	4.68	2.63	0.86	2.81	10.91	7.87	1.06	THYM	Primary Tumor
TCGA-QQ-A5VD-01	TCGA-QQ-A5VD-01	10.94	2.23	9.18	4.14	8.54	6.33	3.17	4.64	5.52	10.52	1.51	0.69	SARC	Primary Tumor
TCGA-CS-6667-01	TCGA-CS-6667-01	10.94	2.07	10.43	5.16	4.33	8.99	10.96	6.84	9.25	9.48	3.85	3.4	LGG	Primary Tumor
TCGA-85-A53L-01	TCGA-85-A53L-01	10.94	1.36	8.93	2.6	2.78	4.84	1.12	1.36	2.04	9.54	3.67	5.28	LUSC	Primary Tumor
TCGA-CN-6018-01	TCGA-CN-6018-01	10.94	0.54	7.8	0	3.32	5.04	4.41	1.89	4.21	10.05	3.99	1.23	HNSC	Primary Tumor
TCGA-TM-A7CA-01	TCGA-TM-A7CA-01	10.93	4.29	9	4.68	6.73	10.72	11.43	8.03	9.56	9.31	5.63	5.8	LGG	Primary Tumor
TCGA-NF-A5CP-01	TCGA-NF-A5CP-01	10.93	3.88	8.09	3.18	8.08	3.67	2.9	0.49	6.78	11.67	7.24	0.86	UCS	Primary Tumor
TCGA-CR-5249-01	TCGA-CR-5249-01	10.93	3.51	7.91	1.85	1.85	4.21	0.46	2.63	3.36	11.47	3.14	0	HNSC	Primary Tumor
TCGA-DX-A1L0-01	TCGA-DX-A1L0-01	10.93	3.01	10.91	2.91	2.09	5.52	0	0	7.75	10.68	7.53	0.62	SARC	Primary Tumor
TCGA-06-5418-01	TCGA-06-5418-01	10.93	2.9	3.74	3.74	7.85	7.17	8.12	5.74	7.64	9.54	5.83	3.31	GBM	Primary Tumor
TCGA-BK-A0C9-01	TCGA-BK-A0C9-01	10.93	2.24	7.6	4.14	2.73	4.73			4.45	10.06	2.72	2	UCEC	Primary Tumor
TCGA-A2-A0YM-01	TCGA-A2-A0YM-01	10.93	1.87	6.16	0.37	2.27	3.46	0	0.91	5.07	9.43	3.38	0	BRCA	Primary Tumor
TCGA-HT-A617-01	TCGA-HT-A617-01	10.93	1.78	7.16	5.09	8.72	8.45	8.07	3.05	7.56	9.99	5.84	7	LGG	Primary Tumor
TCGA-CV-7235-11	TCGA-CV-7235-11	10.93	0.46	11.31	0.46	3.1	4.39	1.33	2.37	3.53	9.45	7.15	0.46	HNSC	Solid Tissue Normal
TCGA-EK-A2H1-01	TCGA-EK-A2H1-01	10.93	0	9.34	1.59	7.59	3.91	0	0	4.56	9.91	0.49	0	CESC	Primary Tumor
TCGA-BR-8590-01	TCGA-BR-8590-01	10.93	-0.05	9.41	1.69	3.42	5.25	1.36	2.35	3.35	9.46	6.09	2.12	STAD	Primary Tumor
TCGA-AP-A1E3-01	TCGA-AP-A1E3-01	10.93	-0.65	6.56	5.55	3.33	5.6			2.32	9.9	2.95	3.13	UCEC	Primary Tumor
TCGA-41-5651-01	TCGA-41-5651-01	10.92	3.34	10.08	2.95	8.25	8.1	10.07	9.07	9.6	10.61	4.67	6.57	GBM	Primary Tumor
TCGA-TM-A7CF-01	TCGA-TM-A7CF-01	10.92	2.44	8.66	5.57	7.43	10.3	10.67	7.98	10.66	9.27	5.68	7.06	LGG	Primary Tumor
TCGA-CV-7432-11	TCGA-CV-7432-11	10.92	1.2	11.36	2.01	1.85	4.66	1.2	1.2	4.01	8.2	7.12	0.52	HNSC	Solid Tissue Normal
TCGA-61-1736-01	TCGA-61-1736-01	10.92	0.71	10.45	6.14	0.85	2.99	0.92	2.94	11.28	11	6.29	-0.39	OV	Primary Tumor
TCGA-BG-A222-01	TCGA-BG-A222-01	10.92	0.67	8.72	2.78	3.26	3.1			2.39	11.63	4.26	0.87	UCEC	Primary Tumor
TCGA-IR-A3LA-01	TCGA-IR-A3LA-01	10.92	0.44	9.61	2.19	1.28	3.14	0	0.44	2.19	9.16	4.06	1.95	CESC	Primary Tumor
TCGA-CV-6942-01	TCGA-CV-6942-01	10.92	0	8.65	2.71	2.71	4.97	5.61	3.89	6.34	10.21	4.14	0.76	HNSC	Primary Tumor
TCGA-IN-8462-11	TCGA-IN-8462-11	10.92	-0.4	8.34	2.57	1.61	2	0.17	0.42	-0.39	11.07	1.59	0.05	STAD	Solid Tissue Normal
TCGA-CR-6467-01	TCGA-CR-6467-01	10.91	5.38	9.88	5.27	2.39	4.59	0.61	1.87	2.46	10.63	2.15	0	HNSC	Primary Tumor
TCGA-FG-8187-01	TCGA-FG-8187-01	10.91	3.76	7.99	4.28	6.38	9.16	8.78	5.42	8.08	10.89	7.53	6.25	LGG	Primary Tumor
TCGA-TQ-A7RH-01	TCGA-TQ-A7RH-01	10.91	3.72	9.25	5.08	5.78	9.7	9.42	5.16	8.89	10.28	4.51	7.78	LGG	Primary Tumor
TCGA-HT-8114-01	TCGA-HT-8114-01	10.91	3.33	9.69	3.94	4.48	9.31	10.94	5.94	9.59	9.93	4.87	4.81	LGG	Primary Tumor
TCGA-DU-A76L-01	TCGA-DU-A76L-01	10.91	3.03	8.66	3.28	5.86	7.96	9.13	8.28	6.92	10.89	4.98	1.87	LGG	Primary Tumor
TCGA-E1-5303-01	TCGA-E1-5303-01	10.91	2.76	7.8	3.76	4.44	9.16	9.99	7.36	8.38	10.14	5.8	3.41	LGG	Primary Tumor
